voiceID,startTime,endTime,avgTime,meanF0Hz,stdevF0Hz,HNR,localJitter,localabsoluteJitter,rapJitter,ppq5Jitter,ddpJitter,localShimmer,localdbShimmer,apq3Shimmer,apq5Shimmer,apq11Shimmer,ddaShimmer,meanPitch,maxPitch,minPitch,meanIntensity,maxIntensity,minIntensity
0-1,0,1,0.5,325.27392635889765,59.5877170080614,9.032997419621493,0.026719069878829157,8.361053673123053e-05,0.013095697558594365,0.014634910993913336,0.039287092675783085,0.12830225361814712,1.1812845085804333,0.05818621554741663,0.08203018716510843,0.13113314351051253,0.1745586466422499,263.613286746274,434.528929124869,151.0288118591167,61.42334634181069,80.55145576812895,30.83354954824426
1-2,1,2,1.5,325.27392635889765,59.5877170080614,9.032997419621493,0.026719069878829157,8.361053673123053e-05,0.013095697558594365,0.014634910993913336,0.039287092675783085,0.12830225361814712,1.1812845085804333,0.05818621554741663,0.08203018716510843,0.13113314351051253,0.1745586466422499,263.613286746274,434.528929124869,151.0288118591167,61.42334634181069,80.55145576812895,30.83354954824426
2-3,2,3,2.5,325.27392635889765,59.5877170080614,9.032997419621493,0.026719069878829157,8.361053673123053e-05,0.013095697558594365,0.014634910993913336,0.039287092675783085,0.12830225361814712,1.1812845085804333,0.05818621554741663,0.08203018716510843,0.13113314351051253,0.1745586466422499,263.613286746274,434.528929124869,151.0288118591167,61.42334634181069,80.55145576812895,30.83354954824426
3-4,3,4,3.5,325.27392635889765,59.5877170080614,9.032997419621493,0.026719069878829157,8.361053673123053e-05,0.013095697558594365,0.014634910993913336,0.039287092675783085,0.12830225361814712,1.1812845085804333,0.05818621554741663,0.08203018716510843,0.13113314351051253,0.1745586466422499,263.613286746274,434.528929124869,151.0288118591167,61.42334634181069,80.55145576812895,30.83354954824426
4-5,4,5,4.5,317.42906280046816,64.97437943834326,8.885104454224853,0.0286392509960298,9.308353648034328e-05,0.014305287552619684,0.01553785392609088,0.04291586265785904,0.13106543834948173,1.1999345224414737,0.05950368977675595,0.08107968399769674,0.13226947034463418,0.17851106933026786,258.3617011090454,433.369218858878,135.34498123881656,60.16720364686562,80.73886445777705,26.533611620229077
5-6,5,6,5.5,317.42906280046816,64.97437943834326,8.885104454224853,0.0286392509960298,9.308353648034328e-05,0.014305287552619684,0.01553785392609088,0.04291586265785904,0.13106543834948173,1.1999345224414737,0.05950368977675595,0.08107968399769674,0.13226947034463418,0.17851106933026786,258.3617011090454,433.369218858878,135.34498123881656,60.16720364686562,80.73886445777705,26.533611620229077
6-7,6,7,6.5,317.42906280046816,64.97437943834326,8.885104454224853,0.0286392509960298,9.308353648034328e-05,0.014305287552619684,0.01553785392609088,0.04291586265785904,0.13106543834948173,1.1999345224414737,0.05950368977675595,0.08107968399769674,0.13226947034463418,0.17851106933026786,258.3617011090454,433.369218858878,135.34498123881656,60.16720364686562,80.73886445777705,26.533611620229077
7-8,7,8,7.5,317.42906280046816,64.97437943834326,8.885104454224853,0.0286392509960298,9.308353648034328e-05,0.014305287552619684,0.01553785392609088,0.04291586265785904,0.13106543834948173,1.1999345224414737,0.05950368977675595,0.08107968399769674,0.13226947034463418,0.17851106933026786,258.3617011090454,433.369218858878,135.34498123881656,60.16720364686562,80.73886445777705,26.533611620229077
8-9,8,9,8.5,317.42906280046816,64.97437943834326,8.885104454224853,0.0286392509960298,9.308353648034328e-05,0.014305287552619684,0.01553785392609088,0.04291586265785904,0.13106543834948173,1.1999345224414737,0.05950368977675595,0.08107968399769674,0.13226947034463418,0.17851106933026786,258.3617011090454,433.369218858878,135.34498123881656,60.16720364686562,80.73886445777705,26.533611620229077
9-10,9,10,9.5,317.42906280046816,64.97437943834326,8.885104454224853,0.0286392509960298,9.308353648034328e-05,0.014305287552619683,0.015537853926090878,0.04291586265785904,0.13106543834948173,1.1999345224414737,0.05950368977675595,0.08107968399769674,0.13226947034463418,0.17851106933026786,258.3617011090453,433.369218858878,135.3449812388166,60.16720364686562,80.73886445777705,26.533611620229077
