Age,Gender,Condition,Experiment ID,animacy,anthropomorphism,lesson,transitions,recall,recognition,p_corr_0_meanF0Hz,Proximity_meanF0Hz,Convergence_meanF0Hz,p_corr_0_stdevF0Hz,Proximity_stdevF0Hz,Convergence_stdevF0Hz,p_corr_0_HNR,Proximity_HNR,Convergence_HNR,p_corr_0_localJitter,Proximity_localJitter,Convergence_localJitter,p_corr_0_localabsoluteJitter,Proximity_localabsoluteJitter,Convergence_localabsoluteJitter,p_corr_0_rapJitter,Proximity_rapJitter,Convergence_rapJitter,p_corr_0_ppq5Jitter,Proximity_ppq5Jitter,Convergence_ppq5Jitter,p_corr_0_ddpJitter,Proximity_ddpJitter,Convergence_ddpJitter,p_corr_0_localShimmer,Proximity_localShimmer,Convergence_localShimmer,p_corr_0_localdbShimmer,Proximity_localdbShimmer,Convergence_localdbShimmer,p_corr_0_apq3Shimmer,Proximity_apq3Shimmer,Convergence_apq3Shimmer,p_corr_0_apq5Shimmer,Proximity_apq5Shimmer,Convergence_apq5Shimmer,p_corr_0_apq11Shimmer,Proximity_apq11Shimmer,Convergence_apq11Shimmer,p_corr_0_ddaShimmer,Proximity_ddaShimmer,Convergence_ddaShimmer,p_corr_0_meanPitch,Proximity_meanPitch,Convergence_meanPitch,p_corr_0_maxPitch,Proximity_maxPitch,Convergence_maxPitch,p_corr_0_minPitch,Proximity_minPitch,Convergence_minPitch,p_corr_0_meanIntensity,Proximity_meanIntensity,Convergence_meanIntensity,p_corr_0_maxIntensity,Proximity_maxIntensity,Convergence_maxIntensity,p_corr_0_minIntensity,Proximity_minIntensity,Convergence_minIntensity
26,Male,1,Dekel-6,0.65,0.6,0.6,0.8,0.2553409091,0.9444444444,-0.1042541828,-0.4452203266,-0.2656708519,-0.1657642019,-0.4315689903,0.5541806307,-0.3526507439,-0.6187080217,-0.1884593881,-0.08402114322,-0.5168642663,0.1604566919,-0.05085229433,-0.5045382211,0.3175634818,0.004434077003,-0.5833963182,0.2817288089,-0.1223585185,-0.5639228469,0.4562873477,0.004434077003,-0.5833963182,0.2817288089,0.3837409267,-0.4334955065,0.3316493043,0.4969666287,-0.3980012416,0.2713849459,0.1034276278,-0.5206684966,0.6590670207,0.3303323352,-0.3431574467,0.3212892415,0.1496416308,-0.3688496889,0.6467015976,0.1034276278,-0.5206684966,0.6590670207,-0.1998144097,-0.420594332,0.3787953094,-0.1622135133,-0.3738633145,0.05252533554,-0.2272942654,-0.4156202568,0.2955282871,-0.2440078146,-0.4260212298,-0.554279275,0.167965083,-0.4364225044,0.0008907610519,-0.2052124509,-0.5060422692,0.1267467661
30,Male,1,Dekel-7 Human,0.7,0.7,0.4,0.8,0.1147348485,0.8333333333,-0.2910381017,-0.4849959205,0.03844603847,-0.1302526487,-0.4386262495,0.3821403732,0.1151295697,-0.4966222897,0.5572319214,0.6076826565,-0.3370581524,0.138139231,0.5666082858,-0.398537522,-0.3800200366,0.4201106234,-0.4011847777,-0.1271828993,0.4717973525,-0.4268338084,-0.2102609705,0.4201106234,-0.4011847777,-0.1271828993,0.1778241822,-0.4617272948,0.4216017507,0.1233003075,-0.4549163541,0.348249787,0.1221424852,-0.4167348208,0.5932520546,-0.2074763415,-0.5498555856,-0.1220491595,0.1628737875,-0.3868614321,0.275451004,0.1221424852,-0.4167348208,0.5932520546,-0.2545637457,-0.436383573,0.2158313395,-0.1942501993,-0.5458182625,0.04218150611,-0.3107629845,-0.3485049025,0.2616356478,-0.5357990907,-0.5778399807,-0.2380884941,0.009726746553,-0.4810085111,0.07090843123,-0.3562899783,-0.534888212,-0.2983465996
24,Female,1,Dekel-8 Human,0.95,0.9,1,1,0.2865909091,0.9444444444,0.08998396882,-0.4435305834,0.622293216,-0.3432849431,-0.6356576983,0.006174370527,-0.2205564883,-0.6021761306,-0.2204711718,-0.2802267272,-0.582575505,0.1489375176,-0.1611322716,-0.5353610169,0.3721073027,-0.467683893,-0.6767660546,0.1603496084,-0.4245968533,-0.6947597586,0.1260840486,-0.467683893,-0.6767660546,0.1603496084,-0.1135795681,-0.5878525047,0.3296773118,-0.1627061396,-0.5787229545,0.2663461724,-0.1840865241,-0.6580821084,0.383821648,-0.08754525644,-0.5658174842,0.2087220527,-0.06937742387,-0.4706422853,0.4254114843,-0.1840865241,-0.6580821084,0.383821648,-0.2225714137,-0.4545121348,0.4668668436,-0.3258422014,-0.6078434698,-0.1450257118,-0.1874494913,-0.4419085098,0.614122438,-0.07873811387,-0.4752088159,-0.1882574099,0.01957881941,-0.5162425125,-0.03879397042,-0.2489227709,-0.5136141965,-0.3619854838
24,Male,1,Masha10-Human,0.45,0.3,0.2,0.6,0.1896212121,0.7222222222,-0.01335786069,-0.5313520203,-0.5027008793,0.06333772859,-0.4702009836,0.1543296866,-0.05948818658,-0.5569052311,-0.2521520643,-0.03128584427,-0.4209231135,-0.4557200562,-0.0699004703,-0.4353023693,-0.2399765797,0.1125703233,-0.429152587,-0.4771601184,-0.2769526344,-0.5185315738,-0.1875444688,0.1125703233,-0.429152587,-0.4771601184,-0.2227028657,-0.5087398681,-0.3245130967,-0.1986515763,-0.4844423391,-0.1757201926,0.1113579857,-0.3592426651,-0.3368574266,-0.08687120325,-0.4723479494,0.3244810022,0.3160306286,-0.4233380461,0.02817150197,0.1113579857,-0.3592426651,-0.3368574266,-0.2194456336,-0.5641693432,-0.6899412594,-0.1007489127,-0.4406115329,-0.4932075123,0.2229039984,-0.3441589383,0.1922639494,0.213802231,-0.5438061283,-0.2602311681,0.324325162,-0.4455439527,0.1905233392,0.294529911,-0.4267255179,-0.5002144848
23,Female,1,Masha11-Human,0.7,0.75,0.6,0.2,0.3488636364,0.8888888889,0.09556153595,-0.5785996159,-0.3038804111,-0.04932305532,-0.5327721863,0.2441322562,-0.1064552479,-0.681967872,0.1380571121,0.2028760113,-0.5017023704,0.1455602593,0.3747717114,-0.4137772235,0.2871950252,-0.194919944,-0.720959695,0.1157691188,-0.109764971,-0.6159127069,0.1112093376,-0.194919944,-0.720959695,0.1157691188,0.2809385283,-0.3614076994,-0.4183950074,0.2996894212,-0.3817916669,-0.2216958244,0.1892455256,-0.3939186232,-0.3416658428,0.1261991898,-0.4034032843,-0.1115261758,0.5488254378,-0.3191389049,-0.3637094346,0.1892455256,-0.3939186232,-0.3416658428,-0.2019913153,-0.6865435727,-0.1444962976,-0.1694816599,-0.5322296671,0.1671017322,-0.2063273138,-0.4051840785,-0.2806445869,-0.6702000749,-0.5170004376,0.03259746998,-0.2699603711,-0.6400169606,0.2098679617,-0.6140469361,-0.5213137729,0.103516441
24,Female,1,Masha3-Human,0.65,0.6,0.6,0.6,0.3348106061,0.8888888889,0.0680362817,-0.4599981151,-0.1529822618,0.2110992997,-0.3138357727,-0.3937226328,0.2921349042,-0.4222321598,0.1266683349,0.05021146298,-0.4558832835,0.230077794,0.01828749006,-0.4669485282,0.108705646,0.03268655265,-0.4777722944,0.2949001829,0.04975180582,-0.4272904352,0.3137773413,0.03268655265,-0.4777722944,0.2949001829,-0.09815407956,-0.5050855242,0.00777470822,0.03229128864,-0.4554234742,-0.01684127267,0.0390172148,-0.4916331121,-0.1121376425,-0.01248938749,-0.4460501703,0.03069488701,0.1127846158,-0.4187398043,-0.1081343645,0.0390172148,-0.4916331121,-0.1121376425,0.3686032522,-0.4343798191,-0.2638890422,0.1545921805,-0.5049827165,-0.008339559405,0.03431175084,-0.4457208133,-0.1800208798,-0.08374802226,-0.408082821,-0.2258225791,0.1653606664,-0.5218217081,-0.2955485218,-0.02499973162,-0.460612142,-0.4953857772
24,Female,1,Masha8-Human,1,1,1,1,0.1697348485,0.5555555556,0.001315499056,-0.398243203,0.5520091545,-0.4036485572,-0.567450759,0.0831785821,-0.2369890287,-0.5431572383,0.3242332859,-0.2340154075,-0.3092312774,-0.1254736895,-0.2453210254,-0.3079961646,0.1660636681,0.1062625697,-0.3835801727,-0.3323268209,0.2766469156,-0.3470690502,-0.2378120217,0.1062625697,-0.3835801727,-0.3323268209,-0.1551835476,-0.2837579307,-0.08957202534,-0.1085796408,-0.2820961054,-0.02127033019,0.1691676401,-0.2922818429,-0.2661004767,0.4233437524,-0.2322292557,-0.4719829359,-0.1542696059,-0.3817375399,-0.06723556524,0.1691676401,-0.2922818429,-0.2661004767,0.4085703118,-0.2928080721,0.3106448485,0.02705854982,-0.2687581519,0.4776127362,0.6314530606,-0.236549492,0.1470329232,-0.4459606066,-0.4146814606,0.4076620583,0.3913845473,-0.4349092946,0.1759626646,-0.0002498420244,-0.401999237,-0.02870053272
26,Male,1,Nash-Dec 10 12_30- Human- Male,0.35,0.25,0.4,0.4,0.2463636364,0.7777777778,0.4987889109,-0.3010080273,-0.3274666783,0.007006063712,-0.3407509645,-0.5742018048,0.1090220474,-0.5140899315,-0.1735544125,0.1587096808,-0.3453933847,0.07717481188,-0.07024815878,-0.3383702754,0.378564294,0.4947150341,-0.3571953177,-0.3266435163,0.4558080199,-0.3924196136,-0.2655222586,0.4947150341,-0.3571953177,-0.3266435163,0.2465094561,-0.4391050744,-0.3409609828,0.1561002163,-0.4509812777,-0.3512333334,0.1795274951,-0.4365442737,-0.3935301571,0.2665215799,-0.5219149106,-0.606830421,0.1848249892,-0.4532284686,-0.5069555668,0.1795274951,-0.4365442737,-0.3935301571,0.3675569461,-0.3860893764,-0.2184721871,0.1386733954,-0.3462169791,0.07856862674,0.2141379156,-0.4141632571,-0.09153832105,0.2624045,-0.3954686824,-0.2926945315,-0.07535515368,-0.69919909,-0.1172066811,0.06003106364,-0.4517524075,-0.1667839027
25,Female,1,Nash10- Human,0.9,0.95,0.8,0.6,0.2096590909,0.7777777778,-0.07384721001,-0.5814607471,0.29228972,0.2540566248,-0.3203057354,-0.09287288943,-0.2286611911,-0.5898777827,-0.2378322789,0.2034970671,-0.4476025252,-0.1812513178,0.07749752439,-0.4984195625,0.2036554444,0.2686322057,-0.5404347803,-0.1820156862,-0.01084738798,-0.576778753,-0.3470919087,0.2686322057,-0.5404347803,-0.1820156862,0.1107831046,-0.5891603333,-0.0427284612,0.09220271736,-0.5941301209,-0.1484397784,0.2924022506,-0.5189147019,0.3466267029,0.2460276284,-0.5203832228,0.2095764615,0.02973989504,-0.5168683263,-0.1310434574,0.2924022506,-0.5189147019,0.3466267029,-0.2479619633,-0.7696944577,0.4288022131,0.1761739597,-0.4502225715,-0.4003923462,-0.09262060145,-0.4537103367,0.183781547,0.07182064403,-0.4252259387,0.531113418,-0.3116592713,-0.5223151621,-0.3271095343,0.1935239938,-0.3983371545,-0.0526038836
22,Male,1,Nash2,0.95,0.9,0.6,0.6,0.2368939394,0.5,-0.4344815716,-0.6918721254,0.6580383831,-0.4262656718,-0.4297846318,-0.4396268428,-0.4036646741,-0.6455529488,0.1176551407,-0.1777814854,-0.5576947985,0.02287972553,-0.2974610004,-0.5833907846,0.3904523476,-0.4145036287,-0.7491855447,0.1102573503,-0.04511308932,-0.5251844441,0.05165245043,-0.4145036287,-0.7491855447,0.1102573503,-0.08285344341,-0.6744530341,0.3399265142,-0.03771871656,-0.66762591,0.4514531575,-0.2691889034,-0.7785192533,0.3893461232,-0.05753184761,-0.6131523485,0.4919162051,-0.2801888857,-0.5025965841,0.5024811245,-0.2691889034,-0.7785192533,0.3893461232,-0.1284121583,-0.6300142849,0.3650297888,-0.190147861,-0.419278844,-0.1811836243,0.4178804147,-0.2278025686,-0.4239578842,0.03989963058,-0.3957985237,0.3627074497,0.3905860203,-0.3384265014,-0.05012267676,-0.114039703,-0.446863782,0.4439691868
