voiceID,startTime,endTime,avgTime,meanF0Hz,stdevF0Hz,HNR,localJitter,localabsoluteJitter,rapJitter,ppq5Jitter,ddpJitter,localShimmer,localdbShimmer,apq3Shimmer,apq5Shimmer,apq11Shimmer,ddaShimmer,meanPitch,maxPitch,minPitch,meanIntensity,maxIntensity,minIntensity
3.488_3.765,3.488,3.765,3.6265,296.30624132170743,20.66796265953963,12.575656862359946,0.01603272799676052,5.4266058478947615e-05,0.006412342102205415,0.007532169831976911,0.019237026306616244,0.08842618219099427,0.8243784705786287,0.035430886126840484,0.056035389333107644,0.07325734060250542,0.10629265838052146,213.61008909317673,247.84842995540825,191.00884343306961,74.30760901321314,78.38524023488256,65.49688945414513
7.365_10.253,7.365,10.253,8.809000000000001,412.6685265645733,94.74765822137277,7.064530894255463,0.027097289617626537,6.675054605362764e-05,0.01351515571759261,0.01531160714908735,0.04054546715277783,0.10924400237206705,1.2415092287465568,0.046782352757444585,0.06553089934066976,0.1011253098784286,0.14034705827233376,326.0450865764316,500.7858167656439,89.03141335122082,59.4793510838517,85.03755410117735,17.10993381836507
12.498_14.273,12.498,14.273,13.3855,315.08773525086883,120.53600114178082,5.545094039751313,0.04174771971190681,0.0001322382358551289,0.023896031655125254,0.02896760066069242,0.07168809496537576,0.17861347005486916,1.4445832657886124,0.07057741849186935,0.15325600219596722,0.36338223157655275,0.21173225547560806,296.81407040514046,596.2696191127422,93.41234520110687,46.28173043207998,79.13702240810031,13.242965305485242
15.669_18.628,15.669,18.628,17.1485,368.67229880165866,47.02423122776184,10.88848700692066,0.026372460876479896,7.231022604348019e-05,0.013304543650074798,0.015767730129794433,0.03991363095022439,0.09523939838488318,1.0004132716523102,0.036867021344904105,0.05600466728218304,0.09748306458467829,0.11060106403471232,266.2671358774188,363.0048752959405,210.53628365021595,59.29348406999851,81.41458618664146,14.64286381125224
25.713_26.556,25.713,26.556,26.134500000000003,301.4352006423405,97.60344696123077,3.5686123044939313,0.03631222231856153,0.00012367092916136367,0.016073960977822915,0.015553730693475853,0.04822188293346874,0.22290963375456196,1.7142826069406119,0.133534665754055,0.1203984543086595,nan,0.400603997262165,278.1455766463387,533.8306389065076,97.35141454918309,55.99572756629326,79.74408671976622,20.570957640335195
32.038_33.584,32.038,33.584,32.811,286.4412406094273,15.866756185204341,11.01294396720919,0.02343834063370828,8.1771703047118e-05,0.012055506705134136,0.011779368660389476,0.036166520115402404,0.11525690637866003,1.2194462457776853,0.04868027822996239,0.06695050836206418,0.10725447275756962,0.14604083468988716,250.800959532235,552.1146938824321,184.85253939595074,60.29791321402507,81.75646049145226,19.27434735398179
46.008_47.041,46.008,47.041,46.5245,241.39219641270134,58.37459967151276,11.540406104583475,0.029473995817165043,0.00012057705672273687,0.014879472060382643,0.013852770357219725,0.04463841618114793,0.10776847531033641,0.9549285676059109,0.04465320573221576,0.049381867161225904,0.10217224457134756,0.13395961719664728,176.8489896325758,239.73045809347153,81.2220290909688,65.51461014859765,79.6971010624193,35.39732395803887
75.788_77.569,75.788,77.569,76.6785,261.48429498549405,43.778376546825584,14.456874911341117,0.02116467221248632,8.20235198864727e-05,0.010293999545886652,0.011591268847118547,0.030881998637659953,0.07466323475460643,0.7857820097060941,0.026050729699545073,0.0410913210784994,0.08121162844135695,0.07815218909863522,191.67441180315896,277.7338936948653,98.20823635646961,57.55291435022595,79.54683986867339,15.875450706837677
108.564_109.879,108.564,109.879,109.22149999999999,208.69452532969652,88.17847709270039,9.028971441576608,0.03397766782611414,0.00016459693672736569,0.01901895968999377,0.018022533731098016,0.0570568790699813,0.12603965781848792,1.220611640412617,0.053295539083331844,0.05978011350428406,0.07719934245929233,0.15988661724999553,157.6383737618041,281.29882256867387,83.44497466934298,63.70456034090851,76.31305936819425,39.91752631277757
158.028_158.564,158.028,158.564,158.296,190.5888197847001,73.66102758288638,11.34282473673662,0.01789068233912478,9.350744393277056e-05,0.009593718937917209,0.013583225694425216,0.028781156813751624,0.13164045152980475,1.1965776459258173,0.04597833414915092,0.07298841672472293,0.058919337637777826,0.13793500244745277,140.76782342832337,209.83393595007175,88.27609876493221,66.96466029230427,74.63192643248617,55.4498843630295
