AGE,GENDER,CONDITION,ID,ID METRICS,RECALL,RECOGNITION,lesson,avg_RECALL,avg_RECOGNITION,apq11Shimmer,apq3Shimmer,apq5Shimmer,ddaShimmer,ddpJitter,HNR,localabsoluteJitter,localdbShimmer,localJitter,localShimmer,maxIntensity,maxPitch,meanF0Hz,meanIntensity,meanPitch,minIntensity,minPitch,ppq5Jitter,rapJitter,stdevF0Hz,type_of_feature
35,Male,1,Nash6,Nash6- Human,12%,50%,frikandel,15%,61%,-0.4953565907,-0.632752312,-0.605301367,-0.632752312,-0.6370773051,-0.6039511737,-0.5802166395,-0.594192817,-0.5044290205,-0.6970999152,-0.4826466621,-0.5956992234,-0.4759009886,-0.530928832,-0.5676016859,-0.4512688598,-0.3708978042,-0.6099403399,-0.6370773051,-0.5741870499,proximity
27,Male,2,dekel-5,Dekel-5,36%,83%,frikandel,30%,72%,-0.4497107257,-0.6281520379,-0.50966658,-0.6281520379,-0.5069835953,-0.6024347336,-0.492764937,-0.6357233052,-0.468197939,-0.6171236373,-0.4865285234,-0.4535867511,-0.4819893531,-0.4258774839,-0.4538302859,-0.4218413472,-0.5828079918,-0.5757122949,-0.5069835953,-0.4841955321,proximity
24,Female,1,dekel-8,Dekel-8 Human,32%,100%,frikandel,29%,94%,-0.4706422853,-0.6580821084,-0.5658174842,-0.6580821084,-0.6767660546,-0.6021761306,-0.5353610169,-0.5787229545,-0.582575505,-0.5878525047,-0.5162425125,-0.6078434698,-0.4435305834,-0.4752088159,-0.4545121348,-0.5136141965,-0.4419085098,-0.6947597586,-0.6767660546,-0.6356576983,proximity
25,Female,1,Nash10,Nash10- Human,20%,67%,frikandel,21%,78%,-0.5168683263,-0.5189147019,-0.5203832228,-0.5189147019,-0.5404347803,-0.5898777827,-0.4984195625,-0.5941301209,-0.4476025252,-0.5891603333,-0.5223151621,-0.4502225715,-0.5814607471,-0.4252259387,-0.7696944577,-0.3983371545,-0.4537103367,-0.576778753,-0.5404347803,-0.3203057354,proximity
22,Female,2,Dekel-2 Furhat,Dekel-2 Furhat,32%,83%,frikandel,31%,78%,-0.3701848922,-0.5179145328,-0.4185092247,-0.5179145328,-0.4727501956,-0.5611640292,-0.4190786692,-0.5031419666,-0.4971222271,-0.526222317,-0.5193896245,-0.44097031,-0.4697469321,-0.4495640845,-0.5000052243,-0.3767862212,-0.4103195878,-0.5756207953,-0.4727501956,-0.4535792051,proximity
23,Female,2,Nash7,Nash7- Robot,16%,67%,frikandel,19%,78%,-0.3982477368,-0.3755208679,-0.330745698,-0.3755208679,-0.5761179455,-0.5602716042,-0.6418805134,-0.3939964128,-0.5647488254,-0.3708898342,-0.5293912858,-0.3247636302,-0.5250989226,-0.4759467582,-0.5190793093,-0.3626848337,-0.4813548963,-0.583324229,-0.5761179455,-0.3805029464,proximity
26,Male,2,Dekel/3,Dekel-3 Furhat,44%,67%,frikandel,25%,72%,-0.3403931487,-0.6687352175,-0.5919883122,-0.6687352175,-0.5650930629,-0.5573762914,-0.5654223497,-0.6162109432,-0.6348178218,-0.6254036912,-0.5290281238,-0.3432318158,-0.667368158,-0.6160587012,-0.4365766965,-0.3789453373,-0.3607838094,-0.6174246783,-0.5650930629,-0.5085185828,proximity
24,Male,1,Masha10,Masha10-Human,12%,67%,frikandel,19%,72%,-0.4233380461,-0.3592426651,-0.4723479494,-0.3592426651,-0.429152587,-0.5569052311,-0.4353023693,-0.4844423391,-0.4209231135,-0.5087398681,-0.4455439527,-0.4406115329,-0.5313520203,-0.5438061283,-0.5641693432,-0.4267255179,-0.3441589383,-0.5185315738,-0.429152587,-0.4702009836,proximity
60,Male,2,Sarah-2,Sarah-2 Furhat,12%,100%,frikandel,18%,94%,-0.454500221,-0.525435632,-0.5173438634,-0.525435632,-0.6087955608,-0.5535366244,-0.4955054297,-0.4645699305,-0.5971896558,-0.5162409335,-0.503985774,-0.3253783981,-0.6184232354,-0.3567619684,-0.4690390898,-0.3115619115,-0.4573644119,-0.5054968167,-0.6087955608,-0.5434146684,proximity
24,Female,1,Masha8,Masha8-Human,12%,50%,frikandel,17%,56%,-0.3817375399,-0.2922818429,-0.2322292557,-0.2922818429,-0.3835801727,-0.5431572383,-0.3079961646,-0.2820961054,-0.3092312774,-0.2837579307,-0.4349092946,-0.2687581519,-0.398243203,-0.4146814606,-0.2928080721,-0.401999237,-0.236549492,-0.3470690502,-0.3835801727,-0.567450759,proximity
25,Male,2,Sarah7,Sarah-7 Human,52%,100%,frikandel,33%,94%,-0.3639000017,-0.4020664267,-0.322464016,-0.4020664267,-0.678308981,-0.5395404441,-0.6631311317,-0.4398172856,-0.632911593,-0.4871958464,-0.4919412069,-0.3846703477,-0.4952314486,-0.511176187,-0.4691901826,-0.6115030187,-0.4214014876,-0.681777679,-0.678308981,-0.3764388543,proximity
26,Male,1,Nash-Dec 10 12:30- Human- Male,Nash-Dec 10 12_30- Human- Male,8%,83%,frikandel,25%,78%,-0.4532284686,-0.4365442737,-0.5219149106,-0.4365442737,-0.3571953177,-0.5140899315,-0.3383702754,-0.4509812777,-0.3453933847,-0.4391050744,-0.69919909,-0.3462169791,-0.3010080273,-0.3954686824,-0.3860893764,-0.4517524075,-0.4141632571,-0.3924196136,-0.3571953177,-0.3407509645,proximity
23,Male,2,Masha5,Masha5-Robot,40%,83%,frikandel,38%,89%,-0.3832400223,-0.4014416481,-0.5235297497,-0.4014416481,-0.4237424867,-0.5101706406,-0.386665111,-0.3983879044,-0.3741319353,-0.409110691,-0.490799076,-0.5453263391,-0.371592324,-0.4244717483,-0.492293185,-0.4104440272,-0.3392028648,-0.2951740356,-0.4237424867,-0.3852703753,proximity
27,Female,2,Sarah - 507 Furhat,Sarah - 507 Furhat,32%,100%,frikandel,36%,78%,-0.420171478,-0.5016014679,-0.4556365152,-0.5016014679,-0.4746938986,-0.5044902054,-0.4384641384,-0.4121082568,-0.5028462331,-0.4635087429,-0.7134554702,-0.6569778544,-0.5479022884,-0.5763723664,-0.4213499121,-0.306975709,-0.4444738385,-0.447810509,-0.4746938986,-0.6554904724,proximity
24,Female,1,Sarah6,Sarah-6 Human,36%,100%,frikandel,32%,89%,-0.400403379,-0.3640054473,-0.3506888093,-0.3640054473,-0.4750072039,-0.498968194,-0.5848749587,-0.3609425971,-0.4327984687,-0.3310706704,-0.4101161584,-0.5900697079,-0.5188321775,-0.3329780944,-0.5395483619,-0.2362068376,-0.3983965342,-0.4449878196,-0.4750072039,-0.5468061372,proximity
30,Male,1,Dekel-7,Dekel-7 Human,8%,67%,frikandel,11%,83%,-0.3868614321,-0.4167348208,-0.5498555856,-0.4167348208,-0.4011847777,-0.4966222897,-0.398537522,-0.4549163541,-0.3370581524,-0.4617272948,-0.4810085111,-0.5458182625,-0.4849959205,-0.5778399807,-0.436383573,-0.534888212,-0.3485049025,-0.4268338084,-0.4011847777,-0.4386262495,proximity
23,Male,2,Sarah12,Sarah-12 Furhat,52%,100%,frikandel,37%,94%,-0.2707398788,-0.4315473698,-0.5474919176,-0.4315473698,-0.6892904465,-0.4957899796,-0.6798569483,-0.5606467679,-0.6914309683,-0.580116284,-0.4829110482,-0.5411472929,-0.3701204238,-0.6048017936,-0.4213524924,-0.3298853432,-0.3804662721,-0.689148202,-0.6892904465,-0.3700230952,proximity
24,Male,2,sarah10,Sarah-10 Furhat,32%,83%,frikandel,30%,83%,-0.4732499013,-0.3822625814,-0.3420198308,-0.3822625814,-0.549461481,-0.488870067,-0.5460829037,-0.4075115346,-0.566784648,-0.3921657324,-0.5564526484,-0.5088869103,-0.5848006714,-0.3970785305,-0.5498193249,-0.5537900928,-0.3125725211,-0.5043324738,-0.549461481,-0.4096714514,proximity
23,Female,2,Masha2,Masha2-Robot,16%,83%,frikandel,29%,83%,-0.4249720048,-0.3488704748,-0.3343417108,-0.3488704748,-0.432953447,-0.486479424,-0.4249139529,-0.3730310182,-0.478168427,-0.3817597225,-0.4474061601,-0.4217870312,-0.3025160573,-0.4927812954,-0.3215500803,-0.5208167814,-0.4955951751,-0.4347124686,-0.432953447,-0.368132535,proximity
24,Female,2,Masha4,Masha4-Robot,36%,100%,frikandel,31%,78%,-0.3607862615,-0.3381312655,-0.4500696153,-0.3381312655,-0.4256091693,-0.4791440567,-0.534356585,-0.3527635211,-0.3872061008,-0.3471209053,-0.5060859063,-0.5274852482,-0.5100553229,-0.5419133176,-0.5786990738,-0.4816693916,-0.4149163038,-0.3941519286,-0.4256091693,-0.4565817752,proximity
26,Male,2,Sarah11,Sarah-11 Furhat,16%,100%,frikandel,22%,94%,-0.3994381423,-0.4716917619,-0.4429622143,-0.4716917619,-0.44884449,-0.4484497605,-0.587501506,-0.4555044377,-0.4732912267,-0.4274604442,-0.2802287729,-0.3374203415,-0.4072040288,-0.4111485875,-0.4028482175,-0.3581632178,-0.3430345209,-0.4011321516,-0.44884449,-0.4171728268,proximity
24,Female,2,Sarah8,Sarah-8 Furhat,48%,83%,frikandel,38%,83%,-0.3566404398,-0.4176340798,-0.3675512789,-0.4176340798,-0.3874587295,-0.444517348,-0.4674199254,-0.2722591071,-0.3916252445,-0.3720622143,-0.3219437329,-0.4198508551,-0.262481045,-0.43650494,-0.4473374031,-0.5843144107,-0.3612224898,-0.384027894,-0.3874587295,-0.5487079866,proximity
54,Male,1,Nash4,Nash4- Human,24%,83%,frikandel,26%,72%,-0.4346475502,-0.6561723507,-0.5330189129,-0.6561723507,-0.5590355805,-0.4407127282,-0.535257192,-0.5122223593,-0.4767030076,-0.5433187154,-0.4662606859,-0.5288550942,-0.5477197284,-0.4222229441,-0.431208415,-0.3571714867,-0.3995771121,-0.5060668054,-0.5590355805,-0.4055159473,proximity
24,Female,1,Masha3,Masha3-Human,28%,100%,frikandel,33%,89%,-0.4187398043,-0.4916331121,-0.4460501703,-0.4916331121,-0.4777722944,-0.4222321598,-0.4669485282,-0.4554234742,-0.4558832835,-0.5050855242,-0.5218217081,-0.5049827165,-0.4599981151,-0.408082821,-0.4343798191,-0.460612142,-0.4457208133,-0.4272904352,-0.4777722944,-0.3138357727,proximity
24,Female,1,sarah13,Sarah-13 Human,20%,100%,frikandel,31%,78%,-0.3038895875,-0.2873767803,-0.3622652753,-0.2873767803,-0.4218341695,-0.3852025405,-0.5009569281,-0.5036856867,-0.4537605188,-0.4572717853,-0.3216694172,-0.3762533599,-0.4773282423,-0.3374269438,-0.3929948062,-0.3568375356,-0.4048409439,-0.3342773861,-0.4218341695,-0.2368658565,proximity
52,Female,2,Masha9,Masha9-Robot,16%,83%,frikandel,27%,83%,-0.492230326,-0.8968281292,-0.7807015663,-0.8968281292,-0.2809281833,-0.3641138611,-0.3966508437,-0.7956196906,-0.1955207553,-0.8889544447,-0.9594726773,-0.3803472544,-0.4300884376,-0.3301262875,-0.3263706149,-0.2594387153,-0.6677612834,-0.2099946652,-0.2809281833,-0.3032837579,proximity
24,Male,2,Masha13,Masha13-Robot,32%,100%,frikandel,28%,94%,-0.3748682973,-0.3713719847,-0.3403392332,-0.3713719847,-0.4606489534,-0.3608720031,-0.3929637748,-0.4754271033,-0.352086816,-0.3598714296,-0.7811926143,-0.3670681526,-0.2655664025,-0.459464358,-0.2936745868,-0.3593406087,-0.4805604689,-0.4061968995,-0.4606489534,-0.4338737564,proximity
