Experiment ID,feature,Proximity,Convergence,convergence_pvalue,p_corr(-15),p_corr(-15)_p_val,p_corr(-10),p_corr(-10)_p_val,p_corr(-5),p_corr(-5)_p_val,p_corr(0),p_corr(0)_p_val,p_corr(5),p_corr(5)_p_val,p_corr(10),p_corr(10)_p_val,p_corr(15),p_corr(15)_p_val
Nash3,ddaShimmer,-0.5545085889,-0.2613981633,1.00E-20,0.3662367654,5.41E-40,0.3576542929,3.04E-38,0.3428391554,3.19E-35,0.329179077,1.42E-32,0.3173290003,3.75E-30,0.3092871369,1.53E-28,0.3007030295,6.79E-27
Nash3,meanPitch,-0.7748848579,-0.002888153015,0.9192699258,-0.1542337056,6.24E-08,-0.1460114239,2.89E-07,-0.1393953711,9.31E-07,-0.1353764123,1.82E-06,-0.134144243,2.37E-06,-0.1351497527,2.08E-06,-0.1361570662,1.83E-06
Nash3,maxPitch,-0.5045360556,-0.06151017649,0.03072575419,-0.2228817212,3.46E-15,-0.212627475,5.59E-14,-0.1943513722,6.33E-12,-0.1768134045,4.00E-10,-0.1606827483,1.48E-08,-0.141854427,6.26E-07,-0.1260647857,1.01E-05
Nash3,minPitch,-0.5407887359,-0.001380705633,0.9613554114,0.02411005122,0.4003247781,0.02437074853,0.394278841,0.02931663521,0.3044529465,0.0334928684,0.2397202859,0.04971913174,0.08145380124,0.06497634743,0.02300668096,0.07997728179,0.005206804486
Nash3,meanIntensity,-0.5813227044,0.2177890724,1.03E-14,-0.1463419453,2.87E-07,-0.1421097031,5.97E-07,-0.1331985827,2.79E-06,-0.1267598547,7.96E-06,-0.127383074,7.49E-06,-0.128391419,6.61E-06,-0.1301808234,5.12E-06
Nash3,maxIntensity,-0.7263469331,0.05485058421,0.05406601522,-0.1122861583,8.54E-05,-0.08277888442,0.00375437863,-0.0518380895,0.06926840027,-0.02090364014,0.4631644695,0.01264576424,0.6578450311,0.04538740591,0.1124885954,0.07780744434,0.006569425403
Nash3,minIntensity,-0.4219523834,0.01099764932,0.699534238,0.208530579,1.92E-13,0.2087614888,1.61E-13,0.2032735711,6.28E-13,0.1970918927,2.85E-12,0.1876082542,3.37E-11,0.1753668291,6.53E-10,0.1615549538,1.41E-08
Dekel-5,meanF0Hz,-0.6151043321,-0.1275355758,1.63E-07,0.04059757941,0.09822775389,0.05761392284,0.01871852149,0.06644165243,0.006604622248,0.0703961329,0.003945185923,0.0755587424,0.002002498038,0.08117543862,0.0009154458218,0.0851444825,0.0005151655675
Dekel-5,stdevF0Hz,-0.5203178086,0.6046496121,1.53E-167,0.05356072657,0.02909827979,0.05981500966,0.01464385267,0.06184271174,0.01147898534,0.06107267452,0.01242021455,0.05264981351,0.03144076063,0.03750224856,0.1261043709,0.01980561615,0.4200045242
Dekel-5,HNR,-0.5996792596,-0.05022859615,0.03983491181,0.006514762531,0.7908288365,0.03434003276,0.1613380406,0.06553703135,0.007382310932,0.09636729383,7.81E-05,0.1174974583,1.47E-06,0.1386970381,1.33E-08,0.1532216509,3.49E-10
