Age,Gender,Condition,Experiment ID,feature,Proximity,Convergence,convergence_pvalue,p_corr(-15),p_corr(-15)_p_val,p_corr(-10),p_corr(-10)_p_val,p_corr(-5),p_corr(-5)_p_val,p_corr(0),p_corr(0)_p_val,p_corr(5),p_corr(5)_p_val,p_corr(10),p_corr(10)_p_val,p_corr(15),p_corr(15)_p_val
26,Male,1,Dekel-6,ppq5Jitter,-0.5925187588,0.5582724592,1.7199999999999998e-90,0.05592615989,0.06655439128,0.06251168582000001,0.0397941776,0.06601824299,0.029520065669999998,0.06437517817,0.033413835360000005,0.0633003776,0.03691661062,0.05761902782000001,0.058133427370000004,0.05109260432,0.09376010262000001
26,Male,1,Dekel-6,ddpJitter,-0.6245235365999999,0.3934332138,9.589999999999998e-42,0.13443816890000002,9.56e-06,0.1343534694,9.23e-06,0.1326640173,1.1400000000000001e-05,0.1301584811,1.6e-05,0.1303131675,1.63e-05,0.1304698734,1.67e-05,0.1270709605,2.8899999999999998e-05
26,Male,1,Dekel-6,localShimmer,-0.5299691786,0.33608348109999997,3.05e-30,0.3077929673,4.58e-25,0.3035333058,1.7e-24,0.2997157929,5.34e-24,0.2959761566,1.62e-23,0.29254475280000003,6.83e-23,0.2830716074,2.1899999999999998e-21,0.2755653207,3.21e-20
26,Male,1,Dekel-6,localdbShimmer,-0.47875187329999996,0.3425251703,2.03e-31,0.46924730369999995,4.5299999999999995e-60,0.45938459119999997,1.36e-57,0.45022320899999996,2.28e-55,0.4424017484,1.52e-53,0.433808119,4.21e-51,0.4185549968,3.92e-47,0.4040685324,1.4699999999999997e-43
26,Male,1,Dekel-6,apq3Shimmer,-0.629665781,0.6319956259,8.009999999999999e-123,0.08529738027999999,0.005092596337,0.0808174569,0.007821737528999999,0.07417823802,0.01443749737,0.06788748314,0.024871691260000002,0.06647693637,0.028406492610000004,0.06342007113,0.03699549425,0.0600867169,0.0486783624
26,Male,1,Dekel-6,apq5Shimmer,-0.4171280615,0.2564820219,7.29e-18,0.3100482221,1.9899999999999999e-25,0.33570082659999995,6.54e-30,0.35503837979999997,1.22e-33,0.3710885994,5.539999999999999e-37,0.3913386947,4.2200000000000004e-41,0.3985194948,1.67e-42,0.40563206119999995,6.48e-44
26,Male,1,Dekel-6,apq11Shimmer,-0.47580585799999997,0.5795622390999999,5.4899999999999985e-99,0.179357194,3.08e-09,0.18283067620000001,1.3800000000000002e-09,0.1885689123,3.6999999999999996e-10,0.1962709634,6.06e-11,0.18472278960000002,8.46e-10,0.16522947970000001,4.59e-08,0.1462569627,1.43e-06
26,Male,1,Dekel-6,ddaShimmer,-0.629665781,0.6319956259,8.009999999999999e-123,0.08529738027999999,0.005092596337,0.0808174569,0.007821737528999999,0.07417823802,0.01443749737,0.06788748314,0.024871691260000002,0.06647693637,0.028406492610000004,0.06342007113,0.03699549425,0.0600867169,0.0486783624
26,Male,1,Dekel-6,meanPitch,-0.4636234649,0.33371167960000003,8.149999999999999e-30,-0.08636315307,0.004564706177,-0.0983538427,0.001198042528,-0.10990803240000001,0.0002829085372,-0.12005693279999999,6.97e-05,-0.1279959149,2.3100000000000002e-05,-0.1355362973,7.68e-06,-0.14378959300000002,2.16e-06
26,Male,1,Dekel-6,maxPitch,-0.35810201909999995,-0.09511160825,0.001652151245,0.03893691986,0.2016659343,0.06548281064,0.03125596894,0.0943490895,0.001845511885,0.1156932086,0.0001272994904,0.1266832057,2.8000000000000003e-05,0.138130198,5.11e-06,0.1395413327,4.29e-06
26,Male,1,Dekel-6,minPitch,-0.481084976,0.2929010524,4.8100000000000006e-23,-0.3700762239,2.7099999999999994e-36,-0.36410607869999995,2.93e-35,-0.36034655039999997,1.1299999999999998e-34,-0.3563131891,4.929999999999999e-34,-0.36326046630000003,3.02e-35,-0.3661230764,1.1599999999999999e-35,-0.3654610176,2.2600000000000003e-35
26,Male,1,Dekel-6,meanIntensity,-0.46849167210000003,-0.43552972590000005,9.089999999999999e-52,-0.1641841228,6e-08,-0.1848331956,9.030000000000001e-10,-0.19426917670000002,1.0500000000000001e-10,-0.1765198094,4.29e-09,-0.1442156153,1.8e-06,-0.1035787235,0.0006440814605,-0.057826398089999995,0.05781315919
26,Male,1,Dekel-6,maxIntensity,-0.4501482737,0.09541029648,0.0015969360560000002,0.2607979799,3.32e-18,0.2644412383,9.040000000000002e-19,0.2738553335,3.75e-20,0.2828095736,1.5699999999999999e-21,0.2923055585,7.43e-23,0.2965378387,2.1e-23,0.3033780711,2.2999999999999997e-24
26,Male,1,Dekel-6,minIntensity,-0.6097229663,0.19600198300000002,6.45e-11,-0.20345897129999999,1.58e-11,-0.2130470814,1.43e-12,-0.2221650323,1.2700000000000001e-13,-0.2270531225,3.1e-14,-0.226929899,3.67e-14,-0.2243672464,8.19e-14,-0.2218179314,1.8000000000000002e-13
22,Female,2,Dekel-2 Furhat,meanF0Hz,-0.47871950560000004,-0.048943197689999995,0.07448275757,-0.05505489035,0.04600947326,-0.0363205677,0.187411225,-0.01463080054,0.5947995467,0.009790864328,0.7213889749,0.029178737689999998,0.28871522260000004,0.049481213930000004,0.07242180918999999,0.06584463016,0.01698047032
22,Female,2,Dekel-2 Furhat,stdevF0Hz,-0.4617955347,-0.1067641142,9.63e-05,0.2210743239,5.2e-16,0.21063502609999998,1.08e-14,0.1994053228,2.4299999999999997e-13,0.1915129424,1.92e-12,0.18760701780000003,5.94e-12,0.1857756545,1.05e-11,0.1783357323,7.48e-11
22,Female,2,Dekel-2 Furhat,HNR,-0.6726531537999999,-0.2379641947,1.45e-18,-0.3831151033,3.42e-47,-0.3720744196,1.43e-44,-0.35896157149999997,1.53e-41,-0.348527025,3.01e-39,-0.3490700325,3.13e-39,-0.3473192269,1.0899999999999998e-38,-0.3425032478,1.8e-37
22,Female,2,Dekel-2 Furhat,localJitter,-0.48621762020000003,-0.3168532455,2.2400000000000002e-32,0.1486394864,6.2e-08,0.1763008751,1.1400000000000001e-10,0.2052231391,4.67e-14,0.23589455350000002,2.91e-18,0.2611448098,4.4e-22,0.2858060836,3.25e-26,0.3050147078,1.0800000000000002e-29
22,Female,2,Dekel-2 Furhat,localabsoluteJitter,-0.42210777159999996,-0.34631983549999995,9.620000000000001e-39,0.2421072451,5.56e-19,0.2641889313,1.68e-22,0.28419605870000003,5.11e-26,0.3046426647,6.13e-30,0.3273305533,1.95e-34,0.3502870081,2.28e-39,0.3645796091,1.4e-42
22,Female,2,Dekel-2 Furhat,rapJitter,-0.4343951061,-0.2966103491,2.13e-28,0.2731383855,6.5e-24,0.2973552909,2.46e-28,0.3241518202,9.099999999999999e-34,0.35071382409999996,9.4e-40,0.3698289904,3.5499999999999993e-44,0.3869930754,2.2599999999999996e-48,0.3992006908,1.9199999999999998e-51
22,Female,2,Dekel-2 Furhat,ppq5Jitter,-0.5117888259000001,-0.32780935440000003,1.1599999999999999e-34,0.01786029296,0.5177253654999999,0.042263704220000003,0.1249890412,0.06738480559,0.01419107375,0.09148252223999999,0.0008411023084,0.1122688889,4.24e-05,0.1343657884,9.709999999999999e-07,0.1535476614,2.2200000000000004e-08
22,Female,2,Dekel-2 Furhat,ddpJitter,-0.4343951061,-0.2966103491,2.13e-28,0.2731383855,6.5e-24,0.2973552909,2.46e-28,0.3241518202,9.099999999999999e-34,0.35071382409999996,9.4e-40,0.3698289904,3.5499999999999993e-44,0.3869930754,2.2599999999999996e-48,0.3992006908,1.9199999999999998e-51
22,Female,2,Dekel-2 Furhat,localShimmer,-0.48654353479999995,-0.08428613297,0.002103111446,0.3216825719,5.15e-33,0.33043443920000004,5.69e-35,0.3357523118,2.9999999999999995e-36,0.3422037717,8.219999999999999e-38,0.34484395659999995,2.87e-38,0.35122638770000003,1.39e-39,0.35510878090000003,2.45e-40
22,Female,2,Dekel-2 Furhat,localdbShimmer,-0.5207442135,0.006455224632,0.8141240190000001,0.40154989119999995,4.4e-52,0.3956936901,1.11e-50,0.38793089049999996,8.53e-49,0.3815156412,2.69e-47,0.3730459471,5.62e-45,0.369276038,7.019999999999999e-44,0.36566252579999997,7.679999999999999e-43
22,Female,2,Dekel-2 Furhat,apq3Shimmer,-0.4944692017,0.3067054111,2.4199999999999997e-30,0.09462764129000001,0.0005933956157999999,0.10699577099999999,9.89e-05,0.1167277967,2.0600000000000003e-05,0.1266106312,3.66e-06,0.13652905029999998,6.15e-07,0.1503013149,4.1399999999999994e-08,0.160454596,4.95e-09
22,Female,2,Dekel-2 Furhat,apq5Shimmer,-0.4355010426,-0.2029957966,7.94e-14,0.24898037059999997,5.1199999999999996e-20,0.2463554112,1.1000000000000002e-19,0.2430841075,2.9199999999999997e-19,0.24199856320000002,3.65e-19,0.2369994106,2.32e-18,0.232335583,1.26e-17,0.22556804739999997,1.28e-16
22,Female,2,Dekel-2 Furhat,apq11Shimmer,-0.3873977678,0.4168078428,5.37e-57,0.19918843149999998,3.18e-13,0.2131071873,5.1899999999999995e-15,0.22691588850000002,6.37e-17,0.2372022702,1.88e-18,0.2343476289,5.64e-18,0.2301414339,2.58e-17,0.2289606709,4.33e-17
22,Female,2,Dekel-2 Furhat,ddaShimmer,-0.4944692017,0.3067054111,2.4199999999999997e-30,0.09462764129000001,0.0005933956157999999,0.10699577099999999,9.89e-05,0.1167277967,2.0600000000000003e-05,0.1266106312,3.66e-06,0.13652905029999998,6.15e-07,0.1503013149,4.1399999999999994e-08,0.160454596,4.95e-09
